material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
2PAPI,atom,0,atom_0,-0.0704309344291687,-0.0704309344291687,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,1,atom_1,-0.21126563847064972,-0.21126563847064972,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,2,atom_2,-0.377327024936676,-0.377327024936676,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,3,atom_3,-0.377327024936676,-0.377327024936676,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,4,atom_4,-0.621229887008667,-0.621229887008667,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,5,atom_5,-0.5245187282562256,-0.5245187282562256,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,6,atom_6,0.5909632444381714,0.5909632444381714,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,7,atom_7,0.15202224254608154,0.15202224254608154,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,8,atom_8,-0.38603055477142334,-0.38603055477142334,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,9,atom_9,-0.34737199544906616,-0.34737199544906616,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,10,atom_10,-0.3305322527885437,-0.3305322527885437,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,11,atom_11,-0.5538765788078308,-0.5538765788078308,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,12,atom_12,0.4573165774345398,0.4573165774345398,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,13,atom_13,0.4003027081489563,0.4003027081489563,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,14,atom_14,-0.5299150943756104,-0.5299150943756104,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,15,atom_15,-0.30945467948913574,-0.30945467948913574,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,16,atom_16,-0.3642224669456482,-0.3642224669456482,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,17,atom_17,-0.4440456032752991,-0.4440456032752991,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,atom,18,atom_18,-0.037114888429641724,-0.037114888429641724,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,0,Alkyl,,-0.028954770416021347,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,1,TailSym,,-0.8751029372215271,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,2,TailPlanarity,,1.600867748260498,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,3,NumHAcceptors,,-0.3140258491039276,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,4,NumHDonors,,0.025634072721004486,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,5,TPSA,,0.06287253648042679,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,6,MolLogP,,-2.6874542236328125,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,7,HOMO,,-1.364854335784912,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,8,dipole,,0.6337952613830566,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,9,MPI,,-0.12039033323526382,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,10,surface_min,,0.9388803839683533,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,11,surface_max,,0.3713269829750061,positive,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
2PAPI,extra_feature,12,PSA,,-1.281904935836792,negative,O=P(O)(O)CCn1c2ccccc2c2cccnc21,-3.0090019702911377,PCE
