material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
4PAAO,atom,0,atom_0,0.4716733694076538,0.4716733694076538,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,1,atom_1,0.29869410395622253,0.29869410395622253,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,2,atom_2,0.22775864601135254,0.22775864601135254,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,3,atom_3,-0.2640646696090698,-0.2640646696090698,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,4,atom_4,-0.16730491816997528,-0.16730491816997528,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,5,atom_5,-0.17681166529655457,-0.17681166529655457,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,6,atom_6,-0.213500514626503,-0.213500514626503,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,7,atom_7,0.10105064511299133,0.10105064511299133,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,8,atom_8,0.06064899265766144,0.06064899265766144,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,9,atom_9,-0.3264440894126892,-0.3264440894126892,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,10,atom_10,-0.4336022436618805,-0.4336022436618805,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,11,atom_11,-0.5385075211524963,-0.5385075211524963,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,12,atom_12,-0.4930016100406647,-0.4930016100406647,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,13,atom_13,-0.10954341292381287,-0.10954341292381287,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,14,atom_14,-0.06004413217306137,-0.06004413217306137,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,15,atom_15,-0.15917286276817322,-0.15917286276817322,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,16,atom_16,-0.15917286276817322,-0.15917286276817322,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,17,atom_17,0.10105064511299133,0.10105064511299133,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,18,atom_18,-0.213500514626503,-0.213500514626503,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,19,atom_19,-0.17681166529655457,-0.17681166529655457,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,20,atom_20,-0.16730491816997528,-0.16730491816997528,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,21,atom_21,-0.2640646696090698,-0.2640646696090698,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,atom,22,atom_22,0.22775864601135254,0.22775864601135254,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,0,Alkyl,,-0.42174383997917175,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,1,TailSym,,-0.3773059844970703,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,2,TailPlanarity,,-0.44429296255111694,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,3,NumHAcceptors,,-0.16941657662391663,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,4,NumHDonors,,0.10757973790168762,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
