material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
4PACZ,atom,0,atom_0,-0.051007501780986786,-0.051007501780986786,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,1,atom_1,-0.10634658485651016,-0.10634658485651016,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,2,atom_2,-0.12133247405290604,-0.12133247405290604,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,3,atom_3,-0.12133247405290604,-0.12133247405290604,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,4,atom_4,-0.43190521001815796,-0.43190521001815796,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,5,atom_5,-0.4524466395378113,-0.4524466395378113,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,6,atom_6,-0.37112507224082947,-0.37112507224082947,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,7,atom_7,-0.2627054452896118,-0.2627054452896118,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,8,atom_8,0.08514600992202759,0.08514600992202759,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,9,atom_9,0.09384655952453613,0.09384655952453613,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,10,atom_10,-0.15973278880119324,-0.15973278880119324,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,11,atom_11,-0.12409237027168274,-0.12409237027168274,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,12,atom_12,-0.12605427205562592,-0.12605427205562592,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,13,atom_13,-0.2021809220314026,-0.2021809220314026,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,14,atom_14,0.2192772626876831,0.2192772626876831,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,15,atom_15,0.2192772626876831,0.2192772626876831,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,16,atom_16,-0.2021809220314026,-0.2021809220314026,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,17,atom_17,-0.12605427205562592,-0.12605427205562592,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,18,atom_18,-0.12409237027168274,-0.12409237027168274,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,19,atom_19,-0.15973278880119324,-0.15973278880119324,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,atom,20,atom_20,0.09384655952453613,0.09384655952453613,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,0,Alkyl,,-1.1098464727401733,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,1,TailSym,,-0.055268894881010056,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,2,TailPlanarity,,-0.49838289618492126,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,3,NumHAcceptors,,-0.7488692402839661,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,4,NumHDonors,,0.18074077367782593,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,5,TPSA,,-0.06757786870002747,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,6,MolLogP,,-0.5989342331886292,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,7,HOMO,,-0.4049930274486542,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,8,dipole,,0.6011388301849365,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,9,MPI,,-0.6415346264839172,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,10,surface_min,,0.4167620539665222,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,11,surface_max,,0.050097182393074036,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
4PACZ,extra_feature,12,PSA,,0.06740659475326538,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.31612688302993774,PCE
